залым	(вероломный, коварный, злой	zalym)
заңғар	(громадный, высочайший	zañğar)
заңды	(законный, закономерный	zañdy)
зарлы	(печальный, заунывный	zarly)
зәулiм	(высотный, высокий, громадный	zäulim)
зейінді	(внимательный, сообразительный	zeiındı)
зиялы	(интеллигентный, образованный	zialy)
зиянды	(вредный, вредоносный	ziandy)
зор	(крупный, огромный	zor)
игі	(хороший, чистосердечный, благой	igı)
иесіз	(бесхозный, ничейный	iesız)
кәдімгі	(обыкновенный, настоящий, подлинный	kädımgı)
кәрлі	(яростный, свирепый	kärlı)
кәрі	(старый, древний	kärı)
кедей	(бедный, скудный /бедняк/	kedei)
кез келген	(любой	kez kelgen)
кейінгі	(следующий, последний	keiıngı)
кекшіл	(злопамятный, мстительный	kekşıl)
келбетсiз	(некрасивый, невзрачный	kelbetsiz)
келбеттi	(красивый, представительный, статный	kelbetti)
келелі	(кардинальный, узловой	kelelı)
келесі	(следующий	kelesı)
келісті	(соответствующий, подходящий,
 приятный, красивый	kelıstı)
кем	(плохой, слабый /меньше, хуже/	kem)
кемел	(зрелый, достигший совершенства	kemel)
кең	(широкий, просторный, свободный
 /широко, повсеместно, свободно/	keñ)
кепілдік	(гарантированный /гарантия/	kepıldık)
кер	(заносчивый, строптивый	ker)
керексіз	(ненужный, ненадобный	kereksız)
керекті	(нужный, необходимый	kerektı)
керемет	(чудесный, дивный, прекрасный
 /чудо, диво/	keremet)
кертартпа	(консервативный, отсталый	kertartpa)
кешегі	(вчерашний, былой	keşegı)
кешкі	(вечерний	keşkı)
классикалық	(классический	klasikalyq)
корей	(корейский /кореец/	korei)
көгілдір	(голубой	kögıldır)
көк	(синий (зелёный) /небосвод/	kök)
көктемгі	(весенний	köktemgı)
көкшіл	(голубоватый, лазурный	kökşıl)
көлденең	(поперечный, неожиданный	köldeneñ)
көлемді	(объемный	kölemdı)
көмескі	(тусклый, нечеткий	kömeskı)
көне	(древний, старый, поношенный	köne)
көңілді	(весёлый, радостный, оживлённый
 /весело, радостно/	köñıldı)
көңілсіз	(невесёлый, безрадостный
 /неприветливо/	köñılsız)
көршілес	(соседний, соседствующий	körşıles)
көп	(многое /много/	köp)
көпшіл	(общительный	köpşıl)
көркем	(красивый, художественный	körkem)
көрнекті	(видный, солидный	körnektı)
көршілес	(соседний, соседствующий	körşıles)
көрікті	(красивый (внешне), миловидный	körıktı)
көтеріңкі	(приподнятый, повышенный	köterıñkı)
көшпелі	(кочевой, передвижной	köşpelı)
күдікті	(сомнительный, подозреваемый	küdıktı)
күйеуге шыққан	(замужняя	küieuge şyqqan)
күйлі	(зажиточный, упитанный, мелодичный	küilı)
күлгін	(фиолетовый	külgın)
күлдіргі	(смешной, потешный, комический	küldırgı)
күлкілі	(смешной, шуточный, весёлый	külkılı)
күміс	(серебряный /серебро/	kümıs)
күндегі	(каждодневный, повседневный	kündegı)
күнделікті	(повседневный, обычный	kündelıktı)
күндізгі	(дневной	kündızgı)
күңгірт	(тёмный, неясный, тусклый	küñgırt)
күрделі	(сложный, капитальный	kürdelı)
күрең	(бурый, мрачный	küreñ)
күткен	(желанный	kütken)
күтпеген	(неожиданный	kütpegen)
күшті	(сильный, мощный	küştı)
кінәлі	(виноватый, виновный	kınälı)
кірме	(заимствованный	kırme)
