louse --synonyms-- cad; cootie; knave;
receptive --synonyms-- amenable; approachable; friendly;
granted --synonyms-- acknowledged; assumed; admitted;
signing --synonyms-- lettering; blazing; branding;
latter --synonyms-- recent; closing; final;
corrupt --synonyms-- crooked; fraudulent; nefarious;
neutral --synonyms-- disinterested; evenhanded; fair-minded;
pine --synonyms-- ache; crave; grieve;
disgusting --synonyms-- abominable; awful; creepy;
settled --synonyms-- ended; established; resolved;
would --synonyms-- authorize; decree; resolve;
merely --synonyms-- hardly; only; purely;
becoming --synonyms-- enhancing; fair; welcome;
commercial --synonyms-- economic; financial; monetary;
dearly --synonyms-- greatly; very much; profoundly;
cockpit --synonyms-- cabin; compartment; pit;
educated --synonyms-- accomplished; civilized; cultured;
peat --synonyms-- lowland; marshland; wetlands;
animal --synonyms-- bodily; natural; brute;
dashboard --synonyms-- control panel; indicator panel; instrument board;
hew --synonyms-- cleave; axe; carve;
discreet --synonyms-- attentive; careful; considerate;
sickle --synonyms-- bow; curve; half-moon;
establishment --synonyms-- formation; formulation; founding;
proper --synonyms-- appropriate; convenient; decent;
caraway --synonyms-- NO SYNONYMS;
falcon --synonyms-- NO SYNONYMS;
score --synonyms-- account; amount; average;
prowess --synonyms-- accomplishment; aptitude; dexterity;
sardine --synonyms-- crowd; load; overcrowd;
affirmative --synonyms-- affirmatory; approving; positive;
unarmed --synonyms-- helpless; powerless; exposed;
topic --synonyms-- affair; argument; business;
gracious --synonyms-- accommodating; affable; amiable;
exile --synonyms-- banishment; diaspora; dispersion;
lying --synonyms-- misleading; dissembling; dissimulating;
harass --synonyms-- burn; hassle; heckle;
residue --synonyms-- debris; silt; slag;
foreigner --synonyms-- alien; immigrant; outsider;
magical --synonyms-- eerie; enchanted; enchanting;
eighty --synonyms-- NO SYNONYMS;
suite --synonyms-- apartment; collection; lodging;
cascade --synonyms-- avalanche; deluge; outpouring;
clinic --synonyms-- hospital; dispensary; infirmary;
sceptical --synonyms-- NO SYNONYMS;
badly --synonyms-- awkwardly; clumsily; poorly;
initiative --synonyms-- action; drive; leadership;
undertake --synonyms-- begin; commence; guarantee;
pie --synonyms-- cake; candy; confection;
royal --synonyms-- aristocratic; dignified; illustrious;
equal --synonyms-- balanced; commensurate; comparable;
word --synonyms-- conversation; talk; chat;
culprit --synonyms-- criminal; felon; fugitive;
generator --synonyms-- alternator; dynamo; architect;
deviate --synonyms-- depart; differ; diverge;
felon --synonyms-- convict; delinquent; lawbreaker;
representative --synonyms-- classic; classical; ideal;
rim --synonyms-- fringe; ledge; lip;
invalid --synonyms-- baseless; false; inoperative;
crusade --synonyms-- demonstration; expedition; movement;
inspire --synonyms-- affect; animate; arouse;
cordial --synonyms-- affectionate; amicable; cheerful;
coefficient --synonyms-- accessory; adjuvant; attendant;
glaze --synonyms-- enamel; sheen; coat;
sanctuary --synonyms-- altar; shrine; temple;
etiquette --synonyms-- amenities; civility; code;
shoplifting --synonyms-- burglary; embezzlement; larceny;
bypass --synonyms-- circumvent; ignore; neglect;
deficit --synonyms-- loss; shortfall; arrears;
sweater --synonyms-- jersey; jumper; pullover;
ant --synonyms-- beetle; flea; pest;
wizard --synonyms-- astrologer; clairvoyant; conjurer;
modify --synonyms-- adapt; adjust; correct;
overestimate --synonyms-- embellish; aggrandize; amplify;
institution --synonyms-- academy; association; business;
erosion --synonyms-- corrosion; decrease; destruction;
granulated --synonyms-- atomize; comminute; crumble;
swimming --synonyms-- floating; natant; natatorial;
around --synonyms-- about; everywhere; over;
pretend --synonyms-- assume; bluff; feign;
suspect --synonyms-- open; pseudo; suspected;
narrow --synonyms-- cramped; definite; limited;
select --synonyms-- eclectic; exclusive; preferred;
note --synonyms-- character; sign; tone;
yummy --synonyms-- appetizing; delectable; delightful;
supernatural --synonyms-- celestial; fairy; ghostly;
plait --synonyms-- crease; flute; fold;
high --synonyms-- big; great; huge;
cranky --synonyms-- cantankerous; grouchy; grumpy;
establish --synonyms-- authorize; base; build;
curl --synonyms-- coil; crimp; curlicue;
corporation --synonyms-- business; company; enterprise;
veal --synonyms-- dogie; heifer; maverick;
doorman --synonyms-- concierge; porter; attendant;
valve --synonyms-- faucet; pipe; spigot;
colonial --synonyms-- crude; dependent; dominion;
disinterested --synonyms-- aloof; casual; dispassionate;
stow --synonyms-- put away; secrete; stash;
twig --synonyms-- limb; sprig; branch;
mingle --synonyms-- blend; intermingle; meld;
sumptuous --synonyms-- awe-inspiring; beautiful; deluxe;
warmer --synonyms-- heater; lamp; cooker;
outmatch --synonyms-- outdistance; outrank; outshine;
sofa --synonyms-- love seat; settee; chesterfield;
october --synonyms-- NO SYNONYMS;
outlook --synonyms-- attitude; direction; perspective;
robe --synonyms-- bathrobe; costume; dress;
typically --synonyms-- commonly; consistently; customarily;
core --synonyms-- basis; body; bottom line;
tips --synonyms-- bang; bug; buzz;
swell --synonyms-- fashionable; groovy; ritzy;
surgeon --synonyms-- expert; physician; professor;
anytime --synonyms-- at all; at any moment; at one's convenience;
mate --synonyms-- acquaintance; bride; buddy;
bedroom --synonyms-- chamber; cubicle; bedchamber;
department --synonyms-- administration; agency; area;
shave --synonyms-- brush; cut down; kiss;
severe --synonyms-- harsh; relentless; serious;
evil --synonyms-- bad; corrupt; destructive;
administration --synonyms-- agency; authority; control;
continue --synonyms-- advance; carry on; carry over;
motive --synonyms-- aim; cause; consideration;
guide --synonyms-- counselor; mentor; model;
seal --synonyms-- imprimatur; insignia; sticker;
great --synonyms-- big; considerable; enormous;
protrude --synonyms-- bulge; jut out; poke out;
green --synonyms-- fresh; grassy; leafy;
stop --synonyms-- bar; block; break;
town --synonyms-- city; metropolis; municipality;
foetus --synonyms-- NO SYNONYMS;
seashore --synonyms-- bank; coast; littoral;
maturity --synonyms-- ability; capability; experience;
fasten --synonyms-- adhere; affix; attach;
diverge --synonyms-- deviate; radiate; stray;
perseverance --synonyms-- dedication; determination; endurance;
persuasive --synonyms-- alluring; cogent; compelling;
skirmish --synonyms-- altercation; argument; battle;
ecology --synonyms-- conservation; preservation; bionomics;
hiking --synonyms-- backpacking; exploring; marching;
slit --synonyms-- aperture; cleavage; crevice;
inadmissible --synonyms-- immaterial; improper; inappropriate;
divinity --synonyms-- deity; sanctity; genius;
calmly --synonyms-- coolly; easily; peacefully;
feign --synonyms-- act; affect; assume;
escort --synonyms-- attendant; bodyguard; companion;
musician --synonyms-- artist; composer; conductor;
stuffed --synonyms-- filled; jammed; loaded;
carbon --synonyms-- graphite; soot; charcoal;
prayer --synonyms-- appeal; invocation; plea;
accomplish --synonyms-- achieve; attain; bring about;
civilize --synonyms-- acquaint; enlighten; ennoble;
however --synonyms-- nonetheless; notwithstanding; withal;
lawyer --synonyms-- advocate; counselor; attorney;
height --synonyms-- ceiling; crest; elevation;
burden --synonyms-- anxiety; concern; difficulty;
peach --synonyms-- acceptable; delicious; delightful;
painless --synonyms-- accessible; clear; effortless;
gown --synonyms-- costume; frock; garb;
justify --synonyms-- advocate; condone; confirm;
meal --synonyms-- breakfast; brunch; dessert;
pile --synonyms-- accumulation; assortment; chunk;
disappearance --synonyms-- departure; exodus; loss;
vegetable --synonyms-- herb; legume; produce;
west --synonyms-- NO SYNONYMS;
belong --synonyms-- apply; exist; fit;
shout --synonyms-- cheer; clamor; cry;
service --synonyms-- account; assistance; benefit;
smoulder --synonyms-- blaze; boil; rage;
fantastic --synonyms-- absurd; crazy; exotic;
